"siteID","site_type","lon_WGS84","lat_WGS84","X_albers","Y_albers","wgt","ip","R3ERU"
"Site-15","Base",-110.488415643219,31.5523131540403,-1364826.22480173,1046161.47777588,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-16","Base",-111.074264942751,33.904252114751,-1378118.64546575,1313805.57264438,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-17","Base",-110.000769680544,31.8630299550052,-1314148.87102011,1073501.46596137,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-18","Base",-110.673347733353,31.3971834674343,-1384764.85579777,1031772.01030983,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-19","Base",-110.301975519273,31.3542035005885,-1350703.02784619,1021699.38308359,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-20","Base",-110.775452871428,31.7106884764695,-1388918.73725528,1067745.67897495,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-21","Base",-109.32390093785,31.9719347921382,-1249348.32028297,1076379.35945458,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-22","Base",-110.377957961681,31.8280967819476,-1349872.25155469,1074940.41270797,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-23","Base",-110.594294448344,31.499201090596,-1375626.31659125,1041844.63753606,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-24","Base",-110.908481684384,33.899840606257,-1363164.67221872,1310927.67915117,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-25","Base",-109.377002163466,31.7568405717768,-1257656.08319799,1053356.2115089,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-26","Base",-110.749265457726,32.4852780544715,-1373133.98771674,1152643.53702463,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-27","Base",-110.75997428906,31.3856698399744,-1393072.61871279,1031772.01030983,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-28","Base",-110.924772864172,33.9368342081614,-1363995.44851022,1315244.51939098,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-29","Base",-109.812612752152,32.5779822775061,-1285071.70081755,1149765.64353142,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-30","Base",-110.270004267607,31.4237110505583,-1346549.14638869,1028894.11681662,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-31","Base",-111.035533009405,31.3878543593924,-1418826.68374934,1036088.85054964,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-32","Base",-110.75835889926,31.4251445953383,-1392241.84242129,1036088.85054964,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-33","Base",-110.331193069877,32.708939151455,-1330764.39685015,1171349.8447305,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-34","Base",-110.450840247395,31.4918259874698,-1362333.89592722,1038966.74404285,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-35","Base",-110.53932406721,31.4410197844516,-1371472.43513374,1034649.90380304,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-36","Base",-111.183684911114,31.4200090363233,-1432119.10441337,1041844.63753606,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
