"size_log","size_raw_cm","expected_remaining_lifetime","stable_distribution","reproductive_value"
3.516317554714,33.6602479388353,1.59982823062806,1.58371701356371e-08,0.0614878105704371
3.57083410594988,35.5462301117597,1.53572438735646,1.23891128662412e-08,0.060805787725758
3.62535065718575,37.5378837807186,1.47567860535239,9.66437869881056e-09,0.0601641434163567
3.67986720842163,39.6411297148659,1.4198563526073,7.51639968215067e-09,0.0595994756786687
3.7343837596575,41.8622204237838,1.36835169321208,5.82748936957706e-09,0.0591817311008894
3.78890031089338,44.2077587448845,1.3211899412275,4.50323552607562e-09,0.0590534001869593
3.84341686212926,46.6847174722622,1.27833219814856,3.46798741426424e-09,0.0594828793129468
3.89793341336513,49.3004600853497,1.23968145557619,2.66121762767167e-09,0.0609400978091948
3.95244996460101,52.0627626389998,1.20508990037449,2.03458481364681e-09,0.0641925331191827
4.00696651583688,54.9798368800681,1.17436703824262,1.54955972290685e-09,0.0704103390638329
4.06148306707276,58.0603546592158,1.14728825241173,1.17550521184837e-09,0.0812554577769666
4.11599961830864,61.3134737105052,1.12360343482931,8.88122915747212e-10,0.0989136887576605
4.17051616954451,64.748864875425,1.10304536436627,6.68196687613984e-10,0.126016411801796
4.22503272078039,68.3767408522758,1.08533755620643,5.00576617170332e-10,0.165398455607662
4.27954927201626,72.2078865563834,1.07020136424088,3.7335831981009e-10,0.219659285446316
4.33406582325214,76.2536911813924,1.05736217960408,2.77220841789094e-10,0.290541015112134
4.38858237448802,80.5261820569533,1.04655462940684,2.04893447330281e-10,0.378204326340805
4.44309892572389,85.0380604034541,1.03752673678123,1.50727108235746e-10,0.480555462157954
4.49761547695977,89.8027390900881,1.030043053841,1.10350995204279e-10,0.592826789814652
4.55213202819564,94.834382508504,1.02388682120278,8.03978959388739e-11,0.707610614875855
4.60664857943152,100.147948680576,1.01886124026413,5.82854321417023e-11,0.815472715602245
4.6611651306674,105.759233725467,1.01478996723127,4.20423512123287e-11,0.906134066014198
4.71568168190327,111.684918818186,1.01151695133018,3.01711350025992e-11,0.970040893044466
4.77019823313915,117.942619779223,1.00890574463935,2.1539780757038e-11,1
4.82471478437502,124.550939442697,1.00683840883278,1.5296934304206e-11,0.992494545596006
4.8792313356109,131.529522958682,1.00521413630494,1.08056450826079e-11,0.948348026272305
4.93374788684678,138.899116194124,1.00394769121711,7.5919086590354e-12,0.872563177191277
4.98826443808265,146.681627405957,1.00296776144936,5.30489889406498e-12,0.773378890102508
5.04278098931853,154.900192369764,1.00221529661326,3.68639636896534e-12,0.660790088339331
5.0972975405544,163.579243157589,1.00164189131378,2.54741468089015e-12,0.544896741830403
5.15181409179028,172.74458076937,1.00120825764414,1.75043037073967e-12,0.434454760755463
5.20633064302616,182.423451833907,1.00088281710297,1.19595104832334e-12,0.335902542415993
5.26084719426203,192.644629607383,1.00064043015437,8.12422645234607e-13,0.252977163907216
5.31536374549791,203.438499510223,1.00046127171397,5.48691485018741e-13,0.186872412359723
5.36988029673378,214.837149456592,1.00032985297184,3.68409102888951e-13,0.136775945322908
5.42439684796966,226.874465245035,1.00023418405925,2.45905107058999e-13,0.100578131935252
