"size","observed","bootstrap_mean","lower_CI","upper_CI"
103.500909090909,1,1.00000000000018,1,1.00000000000137
105.274545454545,1,1.00000000000005,1,1.0000000000004
107.048181818182,1,1.00000000000001,1,1.00000000000011
108.821818181818,1,1,1,1.00000000000003
110.595454545455,1,1,1,1.00000000000001
112.369090909091,1,1,1,1
114.142727272727,1,1,1,1
115.916363636364,1,1,1,1
117.69,1,1,1,1
119.463636363636,1,1,1,1
121.237272727273,1,1,1,1
123.010909090909,1,1,1,1
124.784545454545,1,1,1,1
126.558181818182,1,1,1,1
128.331818181818,1,1,1,1
130.105454545455,1,1,1,1
131.879090909091,1,1,1,1
133.652727272727,1,1,1,1
135.426363636364,1,1,1,1
137.2,1,1,1,1
138.973636363636,1,1,1,1
140.747272727273,1,1,1,1
142.520909090909,1,1,1,1
144.294545454545,1,1,1,1
146.068181818182,1,1,1,1
147.841818181818,1,1,1,1
149.615454545455,1,1,1,1
151.389090909091,1,1,1,1
153.162727272727,1,1,1,1
154.936363636364,1,1,1,1
156.71,1,1,1,1
158.483636363636,1,1,1,1
160.257272727273,1,1,1,1
162.030909090909,1,1,1,1
163.804545454545,1,1,1,1
165.578181818182,1,1,1,1
167.351818181818,1,1,1,1
169.125454545455,1,1,1,1
170.899090909091,1,1,1,1
172.672727272727,1,1,1,1
174.446363636364,1,1,1,1
176.22,1,1,1,1
